"id","q_id","q_value","q_type","q_class"
234,"q001a008q001a002q001","Course since last evaluation","off","qc012"
235,"q001a008q001a001q001","Onset","off","qc009"
236,"q001a008q001a001q001a002q001","Onset details","off","qc010"
237,"q001a008q001a001q001a004q001","Onset details","off","qc011"
238,"q001a008q001a001q001a001q001","onset details","off","qc039"
239,"q001a008q001a001q002","Course since onset","off","qc020"
240,"q001a008q001a001q003","Focal neurologic deficit","on","qc040"
241,"q001a008q001a001q003a002q001","location","on","qc041"
242,"q001a008q001a001q003a003q001","location","on","qc041"
244,"q001a008q001a001q004","eye pain","off","qc042"
245,"q001a009q001","tick bite onset","off","qc043"
246,"q001a009q002","tick bite duration","off","qc044"
247,"q001a010q001","Initial vs Reval","off","qc008"
248,"q001a010q001a001q001","Onset","off","qc009"
249,"q001a010q001a001q001a002q001","Onset details","off","qc010"
250,"q001a010q001a001q001a004q001","Onset details","off","qc011"
251,"q001a010q001a001q002","severity","off","qc032"
252,"q001a010q001a001q003","Laterality","off","qc022"
253,"q001a010q001a001q004","Course since onset","off","qc020"
254,"q001a010q001a001q005","past treatment history","on","qc045"
255,"q001a010q001a001q006","constant vs intermittent","off","qc026"
256,"q001a010q001a001q006a002q001","frequency","off","qc027"
257,"q001a010q001a001q006a002q001a004q001","frequcny detail","off","qc028"
258,"q001a010q001a001q006a002q002","Duration","off","qc029"
259,"q001a010q001a002q001","Course since last evaluation","off","qc012"
260,"q001a011q001","Initial vs Reval","off","qc008"
262,"q001a011q001a001q001","Onset","off","qc009"
263,"q001a011q001a001q001a002q001","Onset details","off","qc010"
264,"q001a011q001a001q001a004q001","Onset details","off","qc011"
265,"q001a011q001a001q002","Course since onset","off","qc020"
267,"q001a011q001a001q003a010q001","Measured Temperature","off","qc016"
280,"q001a011q001a002q001","Course since last evaluation","off","qc012"
281,"q001a011q001a001q003","urination frequency","off","qc046"
282,"q001a011q001a001q004","Associated symptoms","on","qc021"
283,"q001a011q001a001q004a010q001","Measured Temperature","off","qc016"
284,"q001a012q001","Initial vs Reval","off","qc008"
285,"q001a012q001a001q001","Onset","off","qc009"
286,"q001a012q001a001q001a002q001","Onset details","off","qc010"
287,"q001a012q001a001q001a004q001","Onset details","off","qc011"
288,"q001a012q001a001q002","Bowel movements for past 48 hours","off","qc047"
289,"q001a012q001a001q003","Stool quantity","off","qc048"
290,"q001a012q001a001q004","Stool quality","off","qc049"
291,"q001a012q001a001q005","Treatment history","on","qc050"
292,"q001a012q001a001q006","associated sympotms (Abdomen)","on","qc051"
293,"q001a012q001a001q006a003q001","Vomit frequency for past 48 hours","off","qc052"
294,"q001a012q001a001q006a003q002","Vomit character","off","qc053"
295,"q001a012q001a001q006a005q001","location","off","qc054"
296,"q001a012q001a001q006a005q002","severity","off","qc032"
297,"q001a012q001a001q006a005q003","frequency","off","qc027"
298,"q001a012q001a002q001","Course since last evaluation","off","qc012"
299,"q001a013q001","Initial vs Reval","off","qc008"
300,"q001a013q001a002q001","Course since last evaluation","off","qc012"
301,"q001a013q001a001q001","Onset","off","qc009"
302,"q001a013q001a001q001a002q001","Onset details","off","qc010"
303,"q001a013q001a001q001a004q001","Onset details","off","qc011"
304,"q001a013q001a001q002","reducible","off","qc036"
305,"q001a013q001a001q003","Bowel movements for past 48 hours","off","qc047"
306,"q001a013q001a001q004","associated sympotms (Abdomen)","on","qc051"
307,"q001a013q001a001q004a005q001","location","off","qc054"
308,"q001a013q001a001q004a005q002","severity","off","qc032"
309,"q001a013q001a001q005","Course since onset","off","qc020"
311,"q001a014q001","Initial vs Reval","off","qc008"
312,"q001a014q001a002q001","Course since last evaluation","off","qc012"
313,"q001a014q001a001q001","Onset","off","qc009"
314,"q001a014q001a001q001a002q001","Onset details","off","qc010"
315,"q001a014q001a001q001a004q001","Onset details","off","qc011"
316,"q001a014q001a001q002","character","off","qc055"
317,"q001a014q001a001q002a001q001","severity","off","qc032"
318,"q001a014q001a001q002a004q001","drainage character","off","qc056"
319,"q001a014q001a001q003","Course since onset","off","qc020"
321,"q001a014q001a001q004","Laterality","off","qc022"
322,"q001a014q001a001q005","Injury near onset","off","qc057"
323,"q001a015q001","Initial vs Reval","off","qc008"
324,"q001a015q001a002q001","Course since last evaluation","off","qc012"
325,"q001a015q001a001q001","Onset","off","qc009"
326,"q001a015q001a001q001a002q001","Onset details","off","qc010"
327,"q001a015q001a001q001a004q001","Onset details","off","qc011"
328,"q001a015q001a001q002","Course since onset","off","qc020"
329,"q001a015q001a001q003","Treatment history","off","qc058"
330,"q001a015q001a001q004","last upper endoscopy","off","qc059"
331,"q001a015q001a001q005","Associated symptom","on","qc060"
332,"q001a016q001","Initial vs Reval","off","qc008"
333,"q001a016q001a002q001","Course since last evaluation","off","qc012"
341,"q001a016q001a002q002","GAD7 needed","off","qc061"
343,"q001a016q001a002q002a001q001","[GAD.1] Feeling nervous, anxious, or on edge (past 2 weeks)","off","qc062"
344,"q001a016q001a002q002a001q002","[GAD.2] Not being able to stop or control worrying (past 2 weeks)","off","qc063"
345,"q001a016q001a002q002a001q003","[GAD.3] Worrying too much about different things (past 2 weeks)","off","qc064"
346,"q001a016q001a002q002a001q004","[GAD.4] Trouble relaxing (past 2 weeks)","off","qc065"
347,"q001a016q001a002q002a001q005","[GAD.5] Being so restless that it is hard to sit still (past 2 weeks)","off","qc066"
348,"q001a016q001a002q002a001q006","[GAD.6] Becoming easily annoyed or irritable (past 2 weeks)","off","qc067"
349,"q001a016q001a002q002a001q007","[GAD.7] Feeling afraid as if something awful might happen (past 2 weeks)","off","qc068"
350,"q001a016q001a001q001","Onset","off","qc009"
351,"q001a016q001a001q001a002q001","Onset details","off","qc010"
352,"q001a016q001a001q001a004q001","Onset details","off","qc011"
353,"q001a016q001a001q002","Course since onset","off","qc020"
354,"q001a016q001a002q002a002q001","GAD7 score","off","qc069"
355,"q001a016q001a001q003","GAD7 needed","off","qc061"
356,"q001a016q001a001q003a001q001","[GAD.1] Feeling nervous, anxious, or on edge (past 2 weeks)","off","qc062"
357,"q001a016q001a001q003a001q002","[GAD.2] Not being able to stop or control worrying (past 2 weeks)","off","qc063"
358,"q001a016q001a001q003a001q003","[GAD.3] Worrying too much about different things (past 2 weeks)","off","qc064"
359,"q001a016q001a001q003a001q004","[GAD.4] Trouble relaxing (past 2 weeks)","off","qc065"
360,"q001a016q001a001q003a001q005","[GAD.5] Being so restless that it is hard to sit still (past 2 weeks)","off","qc066"
361,"q001a016q001a001q003a001q006","[GAD.6] Becoming easily annoyed or irritable (past 2 weeks)","off","qc067"
362,"q001a016q001a001q003a001q007","[GAD.7] Feeling afraid as if something awful might happen (past 2 weeks)","off","qc068"
363,"q001a016q001a001q003a002q001","GAD7 score","off","qc069"
366,"q001a016q001a001q005a002q001","Onset details","off","qc010"
367,"q001a016q001a001q005a004q001","Onset details","off","qc011"
369,"q001a016q001a001q006a001q001","[GAD.1] Feeling nervous, anxious, or on edge (past 2 weeks)","off","qc062"
370,"q001a016q001a001q006a001q002","[GAD.2] Not being able to stop or control worrying (past 2 weeks)","off","qc063"
371,"q001a016q001a001q006a001q003","[GAD.3] Worrying too much about different things (past 2 weeks)","off","qc064"
372,"q001a016q001a001q006a001q004","[GAD.4] Trouble relaxing (past 2 weeks)","off","qc065"
373,"q001a016q001a001q006a001q005","[GAD.5] Being so restless that it is hard to sit still (past 2 weeks)","off","qc066"
374,"q001a016q001a001q006a001q006","[GAD.6] Becoming easily annoyed or irritable (past 2 weeks)","off","qc067"
375,"q001a016q001a001q006a001q007","[GAD.7] Feeling afraid as if something awful might happen (past 2 weeks)","off","qc068"
376,"q001a016q001a001q006a002q001","GAD7 score","off","qc069"
377,"q001a016q001a001q007","PHQ9 is needed","off","qc070"
378,"q001a016q001a001q007a002q001","PHQ9 score","off","qc071"
379,"q001a016q001a001q007a001q001","[PHQ.1] Little interest or pleasure in doing things? (past 2 weeks)","off","qc072"
380,"q001a016q001a001q007a001q002","[PHQ.2] Feeling down, depressed, or hopeless? (past 2 weeks)","off","qc073"
381,"q001a016q001a001q007a001q003","[PHQ.3] Trouble falling or staying asleep, or sleeping too much? (past 2 weeks)","off","qc074"
382,"q001a016q001a001q007a001q004","[PHQ.4] Feeling tired or having little energy? (past 2 weeks)","off","qc075"
383,"q001a016q001a001q007a001q005","[PHQ.5] Poor appetite or overeating? (past 2 weeks)","off","qc076"
384,"q001a016q001a001q007a001q006","[PHQ.6] Feeling bad about yourself — or that you are a failure or have let yourself or your family down? (past 2 weeks)","off","qc077"
385,"q001a016q001a001q007a001q007","[PHQ.7] Trouble concentrating on things, such as reading the newspaper or watching television? (past 2 weeks)","off","qc078"
386,"q001a016q001a001q007a001q008","[PHQ.8] Moving or speaking so slowly that other people could have noticed? Or so fidgety or restless that you have been moving a lot more than usual? (past 2 weeks)","off","qc079"
387,"q001a016q001a001q007a001q009","[PHQ.9] Thoughts that you would be better off dead, or thoughts of hurting yourself in some way? (past 2 weeks)","off","qc080"
388,"q001a016q001a002q003","PHQ9 is needed","off","qc070"
389,"q001a016q001a002q003a002q001","PHQ9 score","off","qc071"
390,"q001a016q001a002q003a001q001","[PHQ.1] Little interest or pleasure in doing things? (past 2 weeks)","off","qc072"
391,"q001a016q001a002q003a001q002","[PHQ.2] Feeling down, depressed, or hopeless? (past 2 weeks)","off","qc073"
392,"q001a016q001a002q003a001q003","[PHQ.3] Trouble falling or staying asleep, or sleeping too much? (past 2 weeks)","off","qc074"
393,"q001a016q001a002q003a001q004","[PHQ.4] Feeling tired or having little energy? (past 2 weeks)","off","qc075"
394,"q001a016q001a002q003a001q005","[PHQ.5] Poor appetite or overeating? (past 2 weeks)","off","qc076"
395,"q001a016q001a002q003a001q006","[PHQ.6] Feeling bad about yourself — or that you are a failure or have let yourself or your family down? (past 2 weeks)","off","qc077"
396,"q001a016q001a002q003a001q007","[PHQ.7] Trouble concentrating on things, such as reading the newspaper or watching television? (past 2 weeks)","off","qc078"
397,"q001a016q001a002q003a001q008","[PHQ.8] Moving or speaking so slowly that other people could have noticed? Or so fidgety or restless that you have been moving a lot more than usual? (past 2 weeks)","off","qc079"
398,"q001a016q001a002q003a001q009","[PHQ.9] Thoughts that you would be better off dead, or thoughts of hurting yourself in some way? (past 2 weeks)","off","qc080"
399,"q001a016q001a001q008","Treatment history (anxiety)","on","qc081"
442,"q000a001q001","Past due for PSA","off","qc094"
443,"q000a001q001a001q001","suggest PSA to patient","off","qc095"
444,"q000a001q001a001q001a001q001","order PSA","off","qc096"
445,"q000a001q001a001q001a002q001","Document decline","off","qc097"
448,"q000a001q001a003q001","gender","off","qc098"
449,"q000a001q001a003q001a002q001","not indicated","off","qc099"
450,"q000a001q001a003q001a001q001","age","off","qc100"
451,"q000a001q001a003q001a001q001a001q001","not indicated","off","qc099"
452,"q000a001q001a003q001a001q001a003q001","not indicated","off","qc099"
453,"q000a001q001a003q001a001q001a002q001","PSA within past 12 months","off","qc085"
454,"q000a001q001a003q001a001q001a002q001a001q001","not indicated","off","qc099"
455,"q000a001q001a003q001a001q001a002q001a002q001","suggest PSA to patient","off","qc095"
456,"q000a001q001a003q001a001q001a002q001a002q001a001q001","order PSA","off","qc096"
457,"q000a001q001a003q001a001q001a002q001a002q001a002q001","Document decline","off","qc097"
458,"q000a001q002","Unsatisfied health maintenance","on","qc101"
459,"q000a001q002a003q001","pap smear within past 5 years","off","qc102"
460,"q000a001q002a003q001a001q001","request patient to obtain the record","off","qc103"
461,"q000a001q002a003q001a002q001","offer an appointment for pap smear","off","qc104"
462,"q000a001q002a003q001a002q001a001q001","Patient need referral","off","qc105"
463,"q000a001q002a003q001a002q001a001q001a002q001","instruct patient to call OBGYN, document the instruction","off","qc106"
464,"q000a001q002a003q001a002q001a001q001a001q001","refer to OBGYN","off","qc107"
