"id","a_class","q_class","a_value"
579,"qc079a002","qc079","several days"
580,"qc079a003","qc079","more than half the days"
581,"qc079a004","qc079","nearly every day"
582,"qc080a001","qc080","not at all"
583,"qc080a002","qc080","several days"
584,"qc080a003","qc080","more than half the days"
585,"qc080a004","qc080","nearly every day"
586,"qc081a001","qc081","citalopram or escitalopram "
587,"qc081a002","qc081","paroxetine, fluoxetine or sertaline"
588,"qc081a003","qc081","duloxetine"
589,"qc081a004","qc081","venlafaxine"
590,"qc081a005","qc081","amitriptyline or nortriptyline"
591,"qc081a006","qc081","alprazolam, diazepam or lorazepam"
592,"qc081a007","qc081","buspirone"
593,"qc082a001","qc082","Colonoscopy"
594,"qc082a003","qc082","AAA screen"
595,"qc082a004","qc082","LDCT"
596,"qc082a005","qc082","HgbA1c"
597,"qc082a002","qc082","Mammogram"
598,"qc082a007","qc082","Osteoporosis"
599,"qc082a006","qc082","Ur Microalbumin"
602,"qc084a001","qc084","49 or younger"
603,"qc084a002","qc084","50 - 54"
604,"qc084a003","qc084","55 - 70"
605,"qc084a004","qc084","71-75"
606,"qc084a005","qc084","76 or older"
607,"qc085a001","qc085","y"
608,"qc085a002","qc085","n"
609,"qc082a008","qc082","Pap smear"
610,"qc086a001","qc086","Never"
611,"qc086a002","qc086","Ex smoker"
612,"qc086a003","qc086","Current smoker"
613,"qc087a001","qc087","Less than 15 years ago"
614,"qc087a002","qc087","15 or more years ago"
615,"qc088a001","qc088","24 PPD or less"
616,"qc088a002","qc088","25 PPD or greater"
617,"qc089a001","qc089","y"
618,"qc089a002","qc089","n"
619,"qc090a001","qc090","y"
620,"qc090a002","qc090","n"
621,"qc091a001","qc091","y"
622,"qc091a002","qc091","n"
623,"qc092a001","qc092","Ordered"
624,"qc093a001","qc093","Documented"
625,"qc094a001","qc094","y"
626,"qc094a002","qc094","n"
627,"qc094a003","qc094","not sure"
628,"qc095a001","qc095","patient accepted"
629,"qc095a002","qc095","declined"
630,"qc096a001","qc096","ordered"
631,"qc097a001","qc097","Documented"
632,"qc098a001","qc098","m"
633,"qc098a002","qc098","f"
634,"qc099a001","qc099","Move to next question"
635,"qc100a001","qc100","49 or younger"
636,"qc100a002","qc100","50 - 75"
637,"qc100a003","qc100","76 or older"
638,"qc101a001","qc101","colonoscopy"
639,"qc101a002","qc101","mammogram"
640,"qc101a003","qc101","pap smear"
641,"qc101a004","qc101","hgba1c"
642,"qc101a005","qc101","microalbumin/creatinine ratio"
643,"qc101a006","qc101","osteoporosis"
644,"qc101a007","qc101","flu vaccine"
645,"qc101a008","qc101","shingle vaccine"
646,"qc101a009","qc101","pneumonia vaccine"
647,"qc102a001","qc102","y"
648,"qc102a002","qc102","n"
649,"qc103a001","qc103","requested"
650,"qc104a001","qc104","patient opted to get it with OBGYN"
651,"qc104a002","qc104","patient declined pap smear"
652,"qc104a003","qc104","scheduled"
653,"qc105a001","qc105","y"
654,"qc105a002","qc105","n"
655,"qc106a001","qc106","documented"
656,"qc107a001","qc107","referred"
